dataset,model,seed,best_params,train_cindex_mean,train_cindex_std,train_cindex_ci_lower,train_cindex_ci_upper,train_ibs_mean,train_ibs_std,train_ibs_ci_lower,train_ibs_ci_upper,train_cal_mean,train_cal_std,train_cal_ci_lower,train_cal_ci_upper,val_cindex_mean,val_cindex_std,val_cindex_ci_lower,val_cindex_ci_upper,val_ibs_mean,val_ibs_std,val_ibs_ci_lower,val_ibs_ci_upper,val_cal_mean,val_cal_std,val_cal_ci_lower,val_cal_ci_upper,test_cindex_mean,test_cindex_std,test_cindex_ci_lower,test_cindex_ci_upper,test_ibs_mean,test_ibs_std,test_ibs_ci_lower,test_ibs_ci_upper,test_cal_mean,test_cal_std,test_cal_ci_lower,test_cal_ci_upper,time_sec_total,n_bootstrap_iters,n_trials,space_file,status,error
whas,aft,42,"{""distribution"": ""lognormal"", ""num_layers"": 3, ""hidden_units"": 8, ""activation"": ""gelu"", ""dropout"": 0.23228604049649393, ""batchnorm"": false, ""residual"": true, ""use_attention"": false, ""epochs"": 300, ""batch_size"": 128, ""lr"": 0.0011546356376232057, ""weight_decay"": 3.0850157632253494e-05, ""patience"": 51, ""val_fraction"": 0.15, ""lr_scheduler"": null, ""interpolation"": ""step""}",0.8054134325099932,0.036471890472539285,0.7264324745742835,0.8461956426062981,0.14157197730457313,0.019185378623937866,0.11644369908707776,0.1834018624336981,0.09240487741330028,0.025190512188957556,0.06546490761941433,0.14995422183689988,0.7582147132606664,0.04572320112827341,0.6579628333108568,0.815501472673721,0.16595120800827498,0.027105224398687223,0.12503934396570185,0.22019475778131098,0.14070319929295075,0.02896343045402104,0.10513884865111671,0.21034253851335374,0.7550207615523148,0.04428273811580536,0.6706830797602582,0.831997700464405,0.16851345121110325,0.03397708016229313,0.12496821260760854,0.24962279761670522,0.15371605831214288,0.025623768805706517,0.11516438130607366,0.20870080245276876,2421.241524176032,20,300,spaces/aft.yaml,ok,
whas,coxph,42,"{""epochs"": 300, ""lr"": 0.005247171071507189, ""weight_decay"": 1.3242071212517641e-07, ""patience"": 36, ""val_fraction"": 0.15, ""lr_scheduler"": null, ""interpolation"": ""step""}",0.7694593035737832,0.03456739570024578,0.6918446177174897,0.8101732676833249,0.1464921245879399,0.016321166249003188,0.1279980667685626,0.18340603184685156,0.0746465060135426,0.012104492048903221,0.05616034607872914,0.10329478142940587,0.7557155016166918,0.05767680414673551,0.6276286598230851,0.8197487030708333,0.16226606054970527,0.03115728337463437,0.13187248597146162,0.2410042482100423,0.13114652904762036,0.027196042721163365,0.08615972486982015,0.17987376165620697,0.760803057761221,0.06124516813395662,0.5937535473953518,0.8209618271468891,0.15790947986533743,0.0289488425914706,0.12093362727033023,0.2201399896640488,0.12644552451311772,0.01882101064470815,0.09072770873410856,0.1592240789141961,445.4095609310316,20,300,spaces/coxph.yaml,ok,
whas,deephit,42,"{""num_durations"": 17, ""num_layers"": 1, ""hidden_units"": 128, ""activation"": ""gelu"", ""dropout"": 0.2384074614171724, ""batchnorm"": false, ""residual"": false, ""use_attention"": false, ""epochs"": 300, ""batch_size"": 64, ""lr"": 0.0001309557795878276, ""weight_decay"": 4.048924606636752e-05, ""patience"": 36, ""val_fraction"": 0.15, ""lr_scheduler"": ""plateau"", ""interpolation"": ""step""}",0.792664996209212,0.015984394270606734,0.7692387952987869,0.8208350512973787,0.14008538841119422,0.011702950549419876,0.11978994196753667,0.16125686182594784,0.09464934016321096,0.020056477405303894,0.07298305549022752,0.13830220499584778,0.767878559727185,0.03536605398821843,0.7107157906486765,0.808921632095073,0.15812299447552075,0.017951726238946586,0.13591087924159134,0.19778999913529627,0.12500404756497568,0.019306951103501058,0.10020733777026274,0.1667045715583203,0.7733333404450038,0.040557229702098636,0.6715614515960118,0.827109918255346,0.15591743615906917,0.02370933160228482,0.12474629102279988,0.21483630870241072,0.12995767974482028,0.019322499736843243,0.10226967935006172,0.16631119108728556,1706.6468386970228,20,300,spaces/deephit.yaml,ok,
whas,deepsurv,42,"{""num_layers"": 2, ""hidden_units"": 128, ""activation"": ""gelu"", ""dropout"": 0.37526148550873717, ""batchnorm"": false, ""residual"": true, ""use_attention"": false, ""epochs"": 300, ""lr"": 0.00013422043190283373, ""weight_decay"": 1.6175136110084455e-06, ""patience"": 31, ""val_fraction"": 0.15, ""lr_scheduler"": ""step"", ""interpolation"": ""linear""}",0.7930347995103804,0.02198576281615721,0.7610056829672254,0.8292475095135113,0.1403531055101585,0.013896743647755888,0.11763216308148919,0.16466875743109355,0.07642994361243753,0.012745671609572636,0.058154645663278874,0.0988346273640498,0.765834196283841,0.035930756713327155,0.7066658753965342,0.814924790335668,0.15984279630538747,0.019185463886122432,0.13467003101059308,0.19862207864071096,0.124946584295849,0.020917826062703853,0.09352540401980511,0.15630942432668085,0.7735512249636829,0.047315967409249905,0.6598452608513218,0.8302760696097992,0.15383959974000436,0.026402277145272508,0.11967156313387053,0.2108135033677843,0.11982158007914516,0.015880238375323014,0.09124810966044598,0.1521964074904841,1041.3986199540086,20,300,spaces/deepsurv.yaml,ok,
whas,logistic_hazard,42,"{""num_durations"": 6, ""num_layers"": 2, ""hidden_units"": 64, ""activation"": ""gelu"", ""dropout"": 0.19730437516808064, ""batchnorm"": true, ""residual"": true, ""use_attention"": false, ""epochs"": 300, ""batch_size"": 128, ""lr"": 0.0005678966298530754, ""weight_decay"": 6.969499860873714e-05, ""patience"": 32, ""val_fraction"": 0.15, ""lr_scheduler"": null, ""interpolation"": ""step""}",0.8041645153455865,0.021942247946107312,0.7745936445388965,0.8368934181767149,0.1318484943468929,0.013967515168608252,0.11222894430117518,0.16206014784167577,0.0958165496646036,0.024230202928155368,0.0703179371151371,0.1490290348972126,0.7618271849059954,0.03501940025330402,0.6984855376801685,0.8181630873847039,0.15965735237954506,0.023458132736424463,0.13033087238540564,0.20775155982795943,0.13650531801418647,0.022198793598419315,0.10326508989366037,0.1876536684895002,0.7733974854256422,0.03443344228058228,0.6940561068798775,0.8252664909721241,0.15875837293197276,0.027932105138088796,0.12379713286603092,0.22157461270868606,0.146624471604661,0.02535806441744117,0.11409238581167744,0.18530270988698022,1168.1277074620011,20,300,spaces/logistic_hazard.yaml,ok,
whas,pchazard,42,"{""num_durations"": 10, ""num_layers"": 1, ""hidden_units"": 8, ""activation"": ""gelu"", ""dropout"": 0.3987498507565334, ""batchnorm"": false, ""residual"": false, ""use_attention"": false, ""epochs"": 300, ""batch_size"": 128, ""lr"": 0.004794137813808495, ""weight_decay"": 1.8361491604442893e-05, ""patience"": 30, ""val_fraction"": 0.15, ""lr_scheduler"": null, ""interpolation"": ""linear""}",0.7517878736960557,0.019423754837450416,0.7208322393168137,0.7858070688668662,0.1733843252507343,0.02199235058097041,0.14686267470470205,0.2217701301278008,0.12282062446240985,0.038272229871724794,0.07605981729872198,0.20264228513666557,0.7326196198017458,0.04837993141012281,0.6331940305282588,0.8140806639473045,0.1857332166348043,0.03218499345222914,0.13643914180353628,0.2393825202407377,0.16092482105090286,0.03342791960180883,0.10878610608977089,0.21786161449472677,0.7310148096367075,0.042486503575701634,0.6522724560875455,0.7864404020539714,0.18917888621885415,0.03634727057627878,0.14214751368319828,0.2635213238126101,0.15403113904447138,0.03743692744723421,0.11248007019631137,0.2379075462678614,2152.970769859967,20,300,spaces/pchazard.yaml,ok,
whas,xgbcox,42,"{""num_boost_round"": 179, ""learning_rate"": 0.03642287858198489, ""max_depth"": 1, ""subsample"": 0.7148329079888156, ""colsample_bytree"": 0.8074926958349524, ""interpolation"": ""linear""}",0.8173610147064739,0.014394315654400459,0.7942011355386619,0.8429775197453659,0.13152970567571484,0.007129216031137242,0.11819435479946494,0.14367850662327852,0.07935370834345135,0.008124650788253114,0.06627430150503491,0.09498462628073633,0.7828710730802967,0.03374969680929776,0.7160821673763796,0.831554777491691,0.15263928635286458,0.017388356123652905,0.13145684058326773,0.18615843243689326,0.12284504284442284,0.020319970653277272,0.09019897535237352,0.16020967694096283,0.7955056334303275,0.043825514707540564,0.6942058085869366,0.8476470461778559,0.14839048166603497,0.025248923364769926,0.12107433715926375,0.2091198350678105,0.12584977918741808,0.014497781232554756,0.10298831804585824,0.14716781654231798,131.5172267779708,20,300,spaces/xgbcox.yaml,ok,
whas,survival_forest,42,"{""n_estimators"": 159, ""max_depth"": 5, ""interpolation"": ""step"", ""n_jobs"": 4}",0.8678393768882774,0.007618701514383121,0.8568324778627243,0.883186944199823,0.11186477347719244,0.005176800294119069,0.10248726429968083,0.12235025428109751,0.1770674477663398,0.009253251375735135,0.16357979371692435,0.1950223838967682,0.7682891530487475,0.03653207750544993,0.7013994825891933,0.8323409208071811,0.15606842198339105,0.010883683868474258,0.14130610313863376,0.17982857214066048,0.1504394750103657,0.027045898426205785,0.11281665195644697,0.21428285031196384,0.7779570489470823,0.03642281700384816,0.7010215860879295,0.8357357019064124,0.15500198167114984,0.013986212443525773,0.13817121779348038,0.1849636703448708,0.15614626788914623,0.020516470735735017,0.12077824615532673,0.1828279852332951,8680.383070037002,20,300,spaces/survival_forest.yaml,ok,
whas,vadesc,42,"{""epochs"": 300, ""batch_size"": 64, ""lr"": 0.0015233424505620256, ""weight_decay"": 1.138604636130329e-06, ""patience"": 36, ""val_fraction"": 0.15, ""lr_scheduler"": ""plateau"", ""interpolation"": ""linear"", ""K"": 2, ""latent_dim"": 32, ""recon_distribution"": ""bernoulli"", ""enc_hidden"": [128, 128], ""dec_hidden"": [128, 256], ""activation"": ""relu"", ""dropout"": 0.2, ""batchnorm"": false, ""residual"": true, ""lambda_recon"": 1.0, ""lambda_surv"": 1.0, ""lambda_kl"": 1.0}",0.7823416792151117,0.017117969978021088,0.7484360790578639,0.8096093069239504,0.15801947540824765,0.010208501216865524,0.14248336932911984,0.17604254351312473,0.11844211931594453,0.017714060489339736,0.08640208187182521,0.1505049778887157,0.7551825315584402,0.035608016028164165,0.6850866035579262,0.8052525754185823,0.1705987878436702,0.020106906000756042,0.14164899356384122,0.21149794781125392,0.1468374649804429,0.01685671697618082,0.12592041320440786,0.18075509000941728,0.7732786932806941,0.04043378201574466,0.6890143478161954,0.8269909380565945,0.16762575384890369,0.02288294276178913,0.13933372003577274,0.22365307988335392,0.15090482049043846,0.019747361944273747,0.12278626513508106,0.1906974805089986,14739.202671622974,20,300,spaces/vadesc.yaml,ok,
whas,dcm,42,"{""K"": 4, ""enc_layers"": 2, ""enc_output"": 82, ""enc_hidden"": 202, ""activation"": ""gelu"", ""dropout"": 0.2845279679110491, ""batchnorm"": true, ""residual"": true, ""use_attention"": false, ""bias"": true, ""vae_alpha"": 0.10823550710793249, ""vae_recon_weight"": 8.507836916113948, ""gate_ce_weight"": 0.0597393878373741, ""epochs"": 300, ""batch_size"": 64, ""lr"": 0.0005891345899096253, ""weight_decay"": 0.0008142325131344911, ""patience"": 12, ""val_fraction"": 0.15, ""lr_scheduler"": null, ""interpolation"": ""linear""}",0.77482081327842,0.03242669377865332,0.7163087501818197,0.8222973248812854,0.15602252809452485,0.013227247232020923,0.13503024980257491,0.18182051630175042,0.08862261087058579,0.013789632862411234,0.06929394660605193,0.11197570526202223,0.7489319161872645,0.03372489603116629,0.7021975942096474,0.8030811485642946,0.17222749039393953,0.017459081995037058,0.14889570106454159,0.20717399252309213,0.13125177306512467,0.02368432956590596,0.09622714294175211,0.17729075616772696,0.7638301885503177,0.041450272247495284,0.6682979151608912,0.8164059035277178,0.16702330546485644,0.024765166524771103,0.13137083323880158,0.2190241603209642,0.12844028097139953,0.022219823283571475,0.089048077683744,0.1681451792918698,1708.4629336920334,20,300,spaces/dcm.yaml,ok,
whas,sca,42,"{""epochs"": 300, ""batch_size"": 72, ""lr"": 0.000807234439611406, ""weight_decay"": 0.00036777670086642316, ""patience"": 12, ""val_fraction"": 0.15, ""lr_scheduler"": ""plateau"", ""interpolation"": ""step"", ""K"": 5, ""gamma0"": 4.0, ""nu"": 1.0, ""latent_dim"": 31, ""mc_samples"": 13, ""enc_layers"": 1, ""enc_hidden"": 128, ""gen_layers"": 3, ""gen_hidden"": 128, ""activation"": ""gelu"", ""dropout"": 0.3, ""batchnorm"": false, ""residual"": true, ""bias"": true, ""noise_dist"": ""uniform"", ""standardize_uniform"": false, ""noise_loc"": 0.0, ""noise_scale"": 1.0, ""lambda_acc"": 1.0, ""lambda_cal"": 1.0, ""lambda_dp"": 2.0}",0.7791539878337106,0.02769640748902162,0.7167022451323375,0.818552265798113,0.21269508971433737,0.06218450577674568,0.16189544744341258,0.36902254277831403,0.22703621580498848,0.05404082036669025,0.1863177221608991,0.3687527567982963,0.7501014830657646,0.0440506240801795,0.6658347437148014,0.816241067490075,0.24345325331133022,0.05393716345243295,0.18162712750596355,0.35045926449464476,0.2741300791590145,0.05778289224757863,0.20168871938962343,0.4199969382540697,0.7522997657784061,0.03576103987391815,0.6851097517596033,0.808273885611275,0.23902333676123075,0.06115897714639247,0.1528919129317141,0.3826286426124636,0.263298567413203,0.05435963195519963,0.1844378965928583,0.3771886226057661,38619.75352647004,20,300,spaces/sca.yaml,ok,
whas,converse_single,42,"{""latent_dim"": 16, ""enc_layers"": 1, ""enc_hidden"": 16, ""dec_layers"": 4, ""dec_hidden"": 32, ""dropout"": 3.504764624440272e-07, ""variational"": false, ""alpha_REC"": 0.0010758123872190853, ""alpha_KLD"": 0.0074241995367801935, ""alpha_NLL"": 0.5767275909801172, ""alpha_RANK"": 2.2358295559881584e-05, ""lr"": 9.515128365078595e-05, ""activation"": ""leaky_relu"", ""weight_decay"": 4.149916768432017e-07, ""batch_size"": 16, ""lr_scheduler"": ""cosine_annealing"", ""interpolation"": ""linear"", ""clustering_method"": ""agglomerative"", ""n_clusters"": 7, ""num_durations"": 11, ""num_layers"": 1, ""hidden_units"": 64, ""alpha_DVC"": 1.834292484728492e-05, ""alpha_IVCG"": 0.00016242293447839962, ""use_cluster_heads"": false, ""linkage"": ""average""}",0.7992845235760523,0.02035667582760607,0.7626169543596858,0.832198830802568,0.13818442579628437,0.012235829268259613,0.12057233642186437,0.16599575323963905,0.08996131582029629,0.02428216618854936,0.0636361922262704,0.14618982023303587,0.7666934621944207,0.032794431783479044,0.7150759277604916,0.8221401666953507,0.15970111108638338,0.019647233478007738,0.13396527096618147,0.1953815702109566,0.12247443404449136,0.021768258861201442,0.09527863163741038,0.1700109316285957,0.7822760122143831,0.03609075789443358,0.6987111650397784,0.8275726145254161,0.15402616344756526,0.02432945840522644,0.12180797505051398,0.20836115855431378,0.13698670944477492,0.023460044943079007,0.10786191524290224,0.18744561420438427,48384.864473463036,20,300,spaces/converse_single.yaml,ok,
whas,dvcsurv,42,"{""latent_dim"": 32, ""enc_layers"": 1, ""enc_hidden"": 64, ""dec_layers"": 3, ""dec_hidden"": 32, ""dropout"": 0.3995479211790771, ""activation"": ""gelu"", ""weight_decay"": 0.03727941715513207, ""lr_scheduler"": ""cosine_annealing"", ""interpolation"": ""step"", ""num_durations"": 14, ""num_layers"": 2, ""hidden_units"": 64, ""epochs"": 500, ""batch_size"": 256, ""lr"": 0.001, ""K_clusters"": 3, ""alpha_NLL"": 0.1, ""alpha_REC"": 0.01, ""alpha_DVC"": 0.5, ""alpha_IVCG"": 0.01, ""alpha_IVIW"": 0.01, ""alpha_IVCW"": 0.01, ""alpha_RANK"": 1}",0.7994339196715105,0.02502278296255654,0.7617885007113412,0.8492650116727469,0.24476477941165536,0.06330801121070315,0.15719100457576424,0.3614959558364744,0.2548757889218934,0.10506100515364168,0.09843497331655401,0.41916565087559543,0.754471520212563,0.04088159259319437,0.6688804473531161,0.8088508039649234,0.26674910874386354,0.06561242146742022,0.16012909177667164,0.36512930013304246,0.2760377890532911,0.09657678195117536,0.13406964799469764,0.42852431638533445,0.7643746973790775,0.0437407828739465,0.6597009114280264,0.8149516051387512,0.26782984012109984,0.07772446171400145,0.15552243655095496,0.3955297866684945,0.2826608750842437,0.09999273340136051,0.1342254172321127,0.43310236765864907,27900.84661758109,20,300,spaces/dvcsurv.yaml,ok,
whas,converse_siamese,42,"{""latent_dim"": 16, ""enc_layers"": 3, ""enc_hidden"": 8, ""dec_layers"": 1, ""dec_hidden"": 64, ""dropout"": 6.096124315253317e-07, ""variational"": true, ""alpha_REC"": 2.2312136501786734e-05, ""alpha_KLD"": 0.015298185352827877, ""alpha_NLL"": 0.01958856113002221, ""alpha_RANK"": 0.0001499523218695248, ""lr"": 0.0004032445035590113, ""activation"": ""gelu"", ""weight_decay"": 0.0229806554140937, ""batch_size"": 16, ""lr_scheduler"": ""cosine_annealing"", ""interpolation"": ""linear"", ""clustering_method"": ""GaussianMixture"", ""n_clusters"": 5, ""num_durations"": 14, ""num_layers"": 1, ""hidden_units"": 64, ""alpha_DVC"": 0.08696350390647119, ""alpha_IVCG"": 2.6544875065738392e-05, ""alpha_IVIW"": 0.0004440956479574845, ""alpha_IVCW"": 0.006354980426549095, ""use_cluster_heads"": false, ""covariance_type"": ""tied"", ""reg_covar"": 4.2434101026053185e-05}",0.7981915590277244,0.017660210492070255,0.7675393847080217,0.828837400161592,0.13348893085203234,0.010882020500810505,0.11379742273399829,0.15601172463079785,0.08061141383335221,0.015493649512619048,0.060548815136968366,0.11187901891307644,0.76550331365858,0.028620523268498906,0.7211551824596992,0.8111949942222113,0.15649890200815406,0.01999375816523312,0.13409188403149022,0.2019481673794369,0.12053693129944368,0.016891434976305002,0.10087505502596787,0.1534498263152373,0.7785962152604651,0.04282207210704529,0.6792205471833708,0.8381444218329901,0.1529239260453233,0.02682296213257767,0.1213042483923496,0.2204290280027873,0.12884951125734917,0.02860897298658551,0.0876195555555232,0.18163396933715562,78040.56933345599,20,300,spaces/converse_siamese.yaml,ok,
